,statecounty,ruralurban
811,IA Clinton,0
812,IA Crawford,1
813,IA Dallas,0
814,IA Davis,1
815,IA Decatur,1
816,IA Delaware,1
817,IA Des Moines,0
818,IA Dickinson,0
819,IA Dubuque,0
820,IA Emmet,0
821,IA Fayette,1
822,IA Floyd,1
823,IA Franklin,1
824,IA Fremont,1
825,IA Greene,1
826,IA Grundy,1
827,IA Guthrie,1
828,IA Hamilton,1
829,IA Hancock,1
830,IA Hardin,1
831,IA Harrison,1
832,IA Henry,1
833,IA Howard,1
834,IA Humboldt,0
835,IA Ida,1
836,IA Iowa,1
837,IA Jackson,1
838,IA Jasper,1
839,IA Jefferson,0
840,IA Johnson,0
841,IA Jones,1
842,IA Keokuk,1
843,IA Kossuth,1
844,IA Lee,0
845,IA Linn,0
846,IA Louisa,1
847,IA Lucas,1
848,IA Lyon,1
849,IA Madison,1
850,IA Mahaska,0
851,IA Marion,0
852,IA Marshall,0
853,IA Mills,1
854,IA Mitchell,1
855,IA Monona,1
856,IA Monroe,1
857,IA Montgomery,0
858,IA Muscatine,0
859,IA O'Brien,1
860,IA Osceola,1
861,IA Page,0
862,IA Palo Alto,1
863,IA Plymouth,1
864,IA Pocahontas,1
865,IA Polk,0
866,IA Pottawattamie,0
867,IA Poweshiek,1
868,IA Ringgold,1
869,IA Sac,1
870,IA Scott,0
871,IA Shelby,1
872,IA Sioux,1
873,IA Story,0
874,IA Tama,1
875,IA Taylor,1
876,IA Union,0
877,IA Van Buren,1
878,IA Wapello,0
879,IA Warren,0
880,IA Washington,1
881,IA Wayne,1
882,IA Webster,0
883,IA Winnebago,1
884,IA Winneshiek,1
885,IA Woodbury,0
886,IA Worth,1
887,IA Wright,1
888,KS Allen,1
889,KS Anderson,1
890,KS Atchison,0
891,KS Barber,1
892,KS Barton,0
893,KS Bourbon,0
894,KS Brown,1
895,KS Butler,0
896,KS Chase,1
897,KS Chautauqua,1
898,KS Cherokee,0
899,KS Cheyenne,1
900,KS Clark,1
901,KS Clay,0
902,KS Cloud,0
903,KS Coffey,1
